bikeObstacle,Enter,118.5636
bikeObstacle,Exit,118.9723
bikeObstacle,Enter,119.4683
bikeObstacle,Exit,119.8735
bikeObstacle,Enter,120.4808
bikeObstacle,Exit,120.9026
bikeObstacle,Enter,121.5126
bikeObstacle,Exit,121.8746
bikeObstacle,Enter,122.5384
bikeObstacle,Exit,122.9089
bikeObstacle,Enter,123.5165
bikeObstacle,Exit,123.9003
bikeObstacle,Enter,124.5423
bikeObstacle,Exit,124.8585
bikeObstacle,Enter,125.5507
bikeObstacle,Exit,125.8779
bikeObstacle,Enter,126.5476
bikeObstacle,Exit,126.8757
bikeObstacle,Enter,127.5705
bikeObstacle,Exit,127.8947
bikeObstacle,Enter,128.5438
bikeObstacle,Exit,128.8866
bikeObstacle,Enter,129.5373
bikeObstacle,Exit,129.8791
bikeObstacle,Enter,130.5447
bikeObstacle,Exit,130.8638
bikeObstacle,Enter,255.1156
bikeObstacle,Exit,255.3471
bikeObstacle,Enter,256.1849
objectPedestrian(Clone),Enter,24.1446
objectPedestrian(Clone),Exit,26.48644
bikeObstacle,Enter,88.70174
bikeObstacle,Enter,88.85069
bikeObstacle,Enter,89.28152
bikeObstacle,Exit,89.31396
bikeObstacle,Exit,89.71156
bikeObstacle,Enter,90.49881
bikeObstacle,Exit,90.81392
bikeObstacle,Enter,91.41104
bikeObstacle,Exit,91.82832
bikeObstacle,Enter,92.40885
bikeObstacle,Exit,92.82234
bikeObstacle,Enter,93.36983
bikeObstacle,Exit,93.81631
bikeObstacle,Enter,94.3968
bikeObstacle,Exit,94.79373
bikeObstacle,Enter,95.42432
bikeObstacle,Exit,95.8398
bikeObstacle,Enter,96.40137
bikeObstacle,Exit,96.83144
bikeObstacle,Enter,97.3956
bikeObstacle,Exit,97.84216
bikeObstacle,Enter,98.38945
bikeObstacle,Exit,98.83601
bikeObstacle,Enter,99.38794
bikeObstacle,Exit,99.83416
bikeObstacle,Enter,100.5391
bikeObstacle,Exit,100.9244
bikeObstacle,Enter,101.427
bikeObstacle,Exit,101.9538
bikeObstacle,Enter,102.5244
bikeObstacle,Exit,102.9309
bikeObstacle,Enter,103.5107
bikeObstacle,Exit,104.0526
bikeObstacle,Enter,104.384
bikeObstacle,Exit,104.8234
bikeObstacle,Enter,105.3557
bikeObstacle,Exit,105.9377
bikeObstacle,Enter,106.3621
bikeObstacle,Exit,106.8375
bikeObstacle,Enter,107.3584
bikeObstacle,Exit,107.8353
bikeObstacle,Enter,108.3801
bikeObstacle,Exit,108.8383
bikeObstacle,Enter,109.3738
bikeObstacle,Exit,109.8597
bikeObstacle,Enter,110.3986
bikeObstacle,Exit,110.8623
bikeObstacle,Enter,111.3858
bikeObstacle,Exit,111.7861
bikeObstacle,Enter,112.4056
bikeObstacle,Exit,112.7701
bikeObstacle,Enter,113.5
bikeObstacle,Exit,113.8596
bikeObstacle,Enter,114.5111
bikeObstacle,Exit,114.9554
bikeObstacle,Enter,115.4977
bikeObstacle,Exit,115.9523
bikeObstacle,Enter,116.6486
bikeObstacle,Exit,116.8236
bikeObstacle,Enter,117.476
bikeObstacle,Exit,117.8529
bikeObstacle,Enter,118.4772
bikeObstacle,Exit,118.7912
bikeObstacle,Enter,119.4258
